bank,index,current_label,full_word_target,changed,literal_encoded_bytes,encode_ok,encode_error,width_ok,width_error,review_status
TT3A,0,SE,Look,True,4,True,,True,,verified or prior target
TT3A,1,Talk,Talk,False,4,True,,True,,verified or prior target
TT3A,2,GT,Take,True,4,True,,True,,verified or prior target
TT3A,3,Use,Use,False,4,True,,True,,verified or prior target
TT3A,4,Move,Move,False,4,True,,True,,verified or prior target
TT3A,5,Area,Area,False,4,True,,True,,verified or prior target
TT3A,6,BOD,Body,True,5,True,,True,,verified or prior target
TT3A,7,POCKT,Pocket,True,6,True,,True,,verified or prior target
TT3A,8,PLI,Pliers,True,6,True,,True,,verified or prior target
TT3A,9,Out,Out,False,4,True,,True,,verified or prior target
TT3A,10,Hit,Hit,False,4,True,,True,,verified or prior target
TT3A,11,Data,Data,False,4,True,,True,,verified or prior target
TT3A,12,In,In,False,3,True,,True,,verified or prior target
TT3A,13,Wall,Wall,False,4,True,,True,,verified or prior target
TT3A,14,Charm,Charm,False,5,True,,True,,verified or prior target
TT3A,15,Out,Out,False,4,True,,True,,verified or prior target
TT3A,16,PS,Pass,True,4,True,,True,,verified or prior target
TT3A,17,In,In,False,3,True,,True,,verified or prior target
TT3A,18,Walk,Walk,False,4,True,,True,,verified or prior target
TT3A,19,FL,Floor,True,5,True,,True,,verified or prior target
TT3A,20,Nick,Nick,False,4,True,,True,,verified or prior target
TT3A,21,RAL,Ralph,True,5,True,,True,,verified or prior target
TT3A,22,Frankie,Frankie,False,7,True,,True,,verified or prior target
TT3A,23,Stove,Stove,False,5,True,,True,,verified or prior target
TT3A,24,Bed,Bed,False,4,True,,True,,verified or prior target
TT3A,25,Shower,Shower,False,6,True,,True,,verified or prior target
TT3A,26,SHT,Sheet,True,5,True,,True,,verified or prior target
TT3A,27,RB,Rub,True,4,True,,True,,verified or prior target
TT3A,28,MATT,Mattress,True,7,True,,True,,verified or prior target
TT3A,29,Tile,Tile,False,4,True,,True,,verified or prior target
TT3A,30,Rock,Rock,False,4,True,,True,,verified or prior target
TT3A,31,Shower,Shower,False,6,True,,True,,verified or prior target
TT3A,32,WR,Wear,True,4,True,,True,,verified or prior target
TT3A,33,TUN,Tunnel,True,6,True,,True,,verified or prior target
TT3A,34,SL,Soil,True,4,True,,True,,verified or prior target
TT3A,35,FR,Front,True,5,True,,True,,verified or prior target
TT3A,36,BCK,Back,True,5,True,,True,,verified or prior target
TT3A,37,SOL,Soldier,True,7,True,,True,,verified or prior target
TT3A,38,Yes,Yes,False,4,True,,True,,verified or prior target
TT3A,39,No,No,False,3,True,,True,,verified or prior target
TT3A,40,Gun,Gun,False,4,True,,True,,verified or prior target
TT3A,41,Toss,Toss,False,4,True,,True,,verified or prior target
TT3A,42,FNC,Fence,True,5,True,,True,,verified or prior target
TT3A,43,WD,Woods,True,5,True,,True,,verified or prior target
TT3A,44,BCH,Bench,True,5,True,,True,,verified or prior target
TT3A,45,Man,Man,False,4,True,,True,,verified or prior target
TT3A,46,SIM,Simon,True,5,True,,True,,verified or prior target
TT3A,47,Red,Red,False,4,True,,True,,verified or prior target
TT3A,48,Blue,Blue,False,5,True,,True,,verified or prior target
TT3A,49,Notes,Notes,False,5,True,,True,,verified or prior target
TT3A,50,Pass,Pass,False,4,True,,True,,verified or prior target
TT3A,51,GRT,Greeting,True,8,True,,True,,verified or prior target
TT3A,52,CRM,Crumple,True,7,True,,True,,verified or prior target
TT3A,53,BRN,Burn,True,5,True,,True,,verified or prior target
TT3A,54,Tear,Tear,False,4,True,,True,,verified or prior target
TT3A,55,JN,Join,True,5,True,,True,,verified or prior target
TT3A,56,N,North,True,5,True,,True,,verified or prior target
TT3A,57,East,East,False,4,True,,True,,verified or prior target
TT3A,58,W,West,True,4,True,,True,,verified or prior target
TT3A,59,Mill,Mill,False,4,True,,True,,verified or prior target
TT3A,60,FNT,Fountain,True,7,True,,True,,verified or prior target
TT3A,61,BT,Bottle,True,6,True,,True,,verified or prior target
TT3A,62,SW,Mita,True,4,True,,True,,reviewed: Japanese place name
TT3A,63,No,No,False,3,True,,True,,verified or prior target
TT3A,64,S,South,True,5,True,,True,,verified or prior target
TT3A,65,GET,Get,True,4,True,,True,,verified or prior target
TT3A,66,PP,Paper,True,5,True,,True,,verified or prior target
TT3A,67,BCK,Back,True,5,True,,True,,verified or prior target
TT3A,68,Trash,Trash,False,5,True,,True,,verified or prior target
TT3A,69,Old man,Old man,False,7,True,,True,,verified or prior target
TT3A,70,Gestapo,Gestapo,False,7,True,,True,,verified or prior target
TT3A,71,GHETO,Ghetto,True,6,True,,True,,verified or prior target
TT3A,72,RESID,Residence,True,8,True,,True,,verified or prior target
TT3A,73,RESIST,Resistance,True,9,True,,True,,verified or prior target
TT3A,74,REGSTR,Register,True,7,True,,True,,verified or prior target
TT3A,75,G-boat,Gunboat,True,7,True,,True,,verified or prior target
TT3A,76,Nazi,Nazi,False,4,True,,True,,verified or prior target
TT3A,77,U-boat,U-boat,False,6,True,,True,,verified or prior target
