bank,index,full_label,visible_fallback,slot_bytes,representation,technical_route
TT3A,0,Look,SE,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,2,Take,GT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,6,Body,BOD,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,7,Pocket,POCKT,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,8,Pliers,PLI,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,16,Pass,PS,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,19,Floor,FL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,21,Ralph,RAL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,26,Sheet,SHT,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,27,Rub,RB,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,28,Mattress,MATT,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,32,Wear,WR,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,33,Tunnel,TUN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,34,Soil,SL,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,35,Front,FR,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,37,Soldier,SOL,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,42,Fence,FNC,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,43,Woods,WD,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,44,Bench,BCH,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,46,Simon,SIM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,51,Greeting,GRT,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,52,Crumple,CRM,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,53,Burn,BRN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,55,Join,JN,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,56,North,N,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,58,West,W,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,60,Fountain,FNT,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,61,Bottle,BT,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,62,Mita,SW,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,64,South,S,4,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,66,Paper,PP,3,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,71,Ghetto,GHETO,5,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,72,Residence,RESID,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
TT3A,73,Resistance,RESIST,6,literal,requires additional scenario compression savings or safe fixed-record/table relocation; not fitted by current 31-entry dictionary without exceeding bank footprint
