sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
1,TT1A/g0/r0,TT1A,scenario,1995ねん 9がつ25にち{CTRL:1}すべては このひからはじまった……,1995nen 9gatsu25nichi / subeteha konohikarahajimatta……,1995ねん 9がつ25にち すべては このひからはじまった……,"September 25, 1995 It all began that day…","ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,"September 25, 1995{CTRL:1}It all began that day...",Accurate,"September 25, 1995 It all began that day…","September 25, 1995{CTRL:1}It all began that day...",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 0,current draft 42 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,1,1,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
2,TT1A/g0/r1,TT1A,scenario,"きゃすたー「こどくのてんさい とよばれる{CTRL:0} ぶつりがくしゃの しもんはかせは{CTRL:2} さくや ""たいむとらべる"" にかんする{CTRL:0} きわめてきょうみぶかい つぎのような{CTRL:4} こめんとを はっぴょういたしました」","kyasutaa「kodokunotensai toyobareru /  butsurigakushano shimonhakaseha /  sakuya ""taimutoraberu"" nikansuru /  kiwametekyoumibukai tsuginoyouna /  komentoo happyouitashimashita」","きゃすたー「こどくのてんさい とよばれる 物理学者の シモン博士は さくや ""タイムトラベル"" にかんする きわめてきょうみぶかい つぎのような こめんとを はっぴょういたしました」","News: Dr. Simon, a reclusive genius in physics, made this statement on time travel late last night.",Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Newscaster,"News: Dr. Simon,{CTRL:0}a reclusive genius in{CTRL:2}physics, made this{CTRL:0}statement on time travel{CTRL:4}late last night.",Accurate,"News: Dr. Simon, a reclusive genius in physics, made this statement on time travel late last night.","News: Dr. Simon,{CTRL:0}a reclusive genius in{CTRL:2}physics, made this{CTRL:0}statement on time travel{CTRL:4}late last night.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 1,current draft 95 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0,4","0,2,0,4",yes,Accurate,Unmarked / neutral or context-dependent,no,no,
3,TT1A/g0/r2,TT1A,scenario,"しもん「えー… ながねんにわたるけんきゅうの{CTRL:0} けっか わたしはこれまでくうそうに{CTRL:0} すぎなかった ""たいむとらべる"" について{CTRL:0} そのじつげんに おおきくちかづいたことを…」","shimon「ee… naganenniwatarukenkyuuno /  kekka watashihakoremadekuusouni /  suginakatta ""taimutoraberu"" nitsuite /  sonojitsugenni ookikuchikazuitakotoo…」","しもん「えー… ながねんにわたる研究の けっか わたしはこれまでくうそうに すぎなかった ""タイムトラベル"" について そのじつげんに おおきくちかづいたことを…」",Simon: Well… years of research have brought time travel from fantasy closer to reality…,"ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Dr. Simon,Simon: Well... years of{CTRL:0}research have brought{CTRL:0}time travel from fantasy{CTRL:0}closer to reality...,Accurate,Simon: Well… years of research have brought time travel from fantasy closer to reality…,Simon: Well... years of{CTRL:0}research have brought{CTRL:0}time travel from fantasy{CTRL:0}closer to reality...,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 2,current draft 88 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,0,0","0,0,0",yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
4,TT1A/g0/r3,TT1A,scenario,うらないさーびすせんたーが おおくりする{CTRL:0}「きょうのうんせい」です{CTRL:2}あなたのけつえきがたを とうろくしてください,uranaisaabisusentaaga ookurisuru / 「kyounounsei」desu / anatanoketsuekigatao tourokushitekudasai,占いサービスセンターが おおくりする 「今日の運勢」です あなたの血液型を とうろくしてください,"The Fortune Center presents ""Today's Luck"". Enter your blood type.",polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Fortune Service announcer / interface voice,"The Fortune Center{CTRL:0}presents ""Today's Luck"".{CTRL:2}Enter your blood type.",Accurate,"The Fortune Center presents ""Today's Luck"". Enter your blood type.","The Fortune Center{CTRL:0}presents ""Today's Luck"".{CTRL:2}Enter your blood type.",High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 3,current draft 64 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2","0,2",yes,Accurate,polite です/ます register,no,no,
5,TT1A/g0/r4,TT1A,scenario,あなたの うまれたつきは！,anatano umaretatsukiha！,あなたの うまれたつきは！,Your birth month?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Your birth month?,Accurate,Your birth month?,Your birth month?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 4,current draft 17 visible characters; longest control-delimited segment 17/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
6,TT1A/g0/r5,TT1A,scenario,では せいかくしんだんからはじめます{CTRL:1}しつもんに おこたえください,deha seikakushindankarahajimemasu / shitsumonni okotaekudasai,では 性格診断からはじめます しつもんに おこたえください,First: personality test. Answer each question.,polite です/ます register Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,First,First: personality test.{CTRL:1}Answer each question.,Accurate,First: personality test. Answer each question.,First: personality test.{CTRL:1}Answer each question.,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 5,current draft 45 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,1,1,yes,Accurate,polite です/ます register,no,no,
7,TT1A/g0/r6,TT1A,scenario,みそしるより こんそめすーぷが すき,misoshiruyori konsomesuupuga suki,みそしるより コンソメスープが すき,Do you prefer consommé to miso soup?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do you prefer consommé  to miso soup?,Accurate,Do you prefer consommé to miso soup?,Do you prefer consommé  to miso soup?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 6,current draft 37 visible characters; longest control-delimited segment 37/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
8,TT1A/g0/r7,TT1A,scenario,50めーとるいじょう およげる,50meetoruijou oyogeru,50めーとるいじょう およげる,Swim 50 meters or more?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Swim 50 meters or more?,Accurate,Swim 50 meters or more?,Swim 50 meters or more?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 7,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
9,TT1A/g0/r8,TT1A,scenario,いみもなくとつぜん わらいだすことがある,imimonakutotsuzen waraidasukotogaaru,いみもなくとつぜん わらいだすことがある,Do you laugh at random?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Do you laugh at random?,Accurate,Do you laugh at random?,Do you laugh at random?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 8,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
10,TT1A/g0/r9,TT1A,scenario,やっぱりやきゅうは じゃいあんつだ,yappariyakyuuha jaiantsuda,やっぱりやきゅうは ジャイアンツだ,Are the Giants the best?,A declarative personality-test proposition with a Japanese pro-baseball cultural reference to the Yomiuri Giants. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Are the Giants the best?,Accurate,Are the Giants the best?,Are the Giants the best?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 9,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
11,TT1A/g0/r10,TT1A,scenario,つきあったこが 3にんいじょう いる,tsukiattakoga 3ninijou iru,つきあったこが 3にんいじょう いる,Have you dated at least three girls?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Have you dated at least three girls?,Accurate,Have you dated at least three girls?,Have you dated at least three girls?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 10,current draft 36 visible characters; longest control-delimited segment 36/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
12,TT1A/g0/r11,TT1A,scenario,かなしばりに あったことがある,kanashibarini attakotogaaru,かなしばりに あったことがある,Have you had sleep paralysis?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Have you had sleep      paralysis?,Accurate,Have you had sleep paralysis?,Have you had sleep      paralysis?,High,,Final proposed,"1995 prologue, fortune service, and personality test",group 0 @ 0xA4C2; record 11,current draft 34 visible characters; longest control-delimited segment 34/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
