category,exact_japanese,reconstructed_japanese,romaji,chosen_english,alternative_readings,first_occurrence,notes
Character,おれ,俺,ore,Protagonist,I; me,TT1B/g0/r7,Source speaker tag and rough/plain masculine first person.
Character,おんなのこ,女の子,onnanoko,Girl,young woman,TT1B/g0/r26,Recurring modern woman; no personal name is supplied in the extracted text.
Character,しもんはかせ,シモン博士,shimonhakase,Dr. Simon,Dr. Shimon,TT1A/g0/r1,Physicist and creator of the Time Belt.
Character,あくま,悪魔,akuma,Devil,demon,TT1B/g0/r0,Recurring antagonist; translated as a title/role.
Character,ぴえーる,ピエール,pieeru,Pierre,,TT2/g0/r0,Body/identity used in the 1428 France chapter.
Character,じゃんぬ・だるく,ジャンヌ・ダルク,jannu・daruku,Jeanne d'Arc,Joan of Arc,TT2/g0/r22,Use Jeanne in direct address; full historical name in narration.
Character,るごー,ルゴー,rugoo,Lugot,Rugot,TT2/g0/r22,Medieval French ally; romanization retained consistently.
Character,ちの,チノ,chino,Chino,,TT1B/g1/r11,Medieval French ally.
Character,ごるどー,ゴルドー,gorudoo,Gordo,Gordeaux,TT2/g2/r2,Medieval French ally.
Character,しきょう,司教,shikyou,Bishop,,TT2/g2/r11,"Office/title, not a personal name."
Character,だんしゃく,男爵,danshaku,Baron,,T22/g0/r0,Office/title.
Character,いざべる,イザベル,izaberu,Isabelle,Isabel,T22/g0/r13,The Baron's wife.
Character,くーがー,クーガー,kuugaa,Cougar,Kuger,TT3A/g0/r13,U.S. air lieutenant identity in 1944.
Character,しゅみっと,シュミット,shumitto,Schmidt,,TT3B/g0/r2,German officer and resistance ally.
Character,ひとらー,ヒトラー,hitoraa,Hitler,,TT3A/g0/r19,Historical figure under supernatural influence in the game.
Character,にくらす,ニクラス,nikurasu,Nicras,Niklas,TT4/g1/r5,Physician identity in ancient Athens.
Character,あてな,アテナ,atena,Athena,,TT4/g0/r3,Greek goddess of wisdom and patron of Athens.
Character,へるめす,ヘルメス,herumesu,Hermes,,TT4/g1/r3,Greek god.
Character,はです,ハデス,hadesu,Hades,,TT4/g3/r12,Greek underworld figure.
Character,けるべろす,ケルベロス,keruberosu,Cerberus,,TT4/g4/r4,Guardian hound of the underworld.
Character,りんかーん,リンカーン,rinkaan,Lincoln,Abraham Lincoln,TT5/g0/r0,Historical figure in the Civil War chapter.
Character,まいやー,マイヤー,maiyaa,Meyer,Mayer,TT5/g0/r2,Plantation/farm owner; current script establishes Meyer.
Character,べる,ベル,beru,Belle,Bell,TT1A/g0/r1,George's mother.
Character,じょーじ,ジョージ,jooji,George,,TT5/g0/r4,Protagonist's identity in 1864 Atlanta.
Character,よせふ,ヨセフ,yosefu,Joseph,,TT6A/g0/r1,Mary's betrothed.
Character,まりあ,マリア,maria,Mary,Maria,TT6A/g0/r7,Mother of Jesus.
Character,かしむ,カシム,kashimu,Kashim,Kas(h)im,TT6A/g0/r1,Joseph's donkey and the protagonist's animal identity.
Character,かすぱる,カスパル,kasuparu,Caspar,Gaspar,TT6C/g0/r2,One of the Magi.
Character,めるきおーる,メルキオール,merukiooru,Melchior,,TT6C/g0/r2,One of the Magi.
Character,ばるたざーる,バルタザール,barutazaaru,Balthazar,Balthasar,TT6C/g0/r2,One of the Magi.
Historical person,いえす・きりすと,イエス・キリスト,iesu・kirisuto,Jesus Christ,,TT6C/g3/r4,Name revealed through an intentional Jesus/yes wordplay.
Location,あくまはくぶつかん,悪魔博物館,akumahakubutsukan,Devil Museum,Demon Museum,TT1B/g0/r0,Modern museum where the supernatural plot begins.
Location,きょうかい,教会,kyoukai,Church,,TT1B/g0/r6,Modern and medieval church contexts are distinguished by scene.
Location,どいつなんぶ ほりょしゅうようじょ,ドイツ南部 捕虜収容所,doitsunanbu horyoshuuyoujo,POW camp in southern Germany,,TT3A/g0/r14,1944 setting.
Location,よみのくに,黄泉の国,yominokuni,the underworld,Yomi,TT4/g0/r10,Rendered by Greek-scene function rather than as a Japanese place name.
Location,なざれ,ナザレ,nazare,Nazareth,,TT6A/g0/r8,Nativity chapter.
Location,べつれへむ,ベツレヘム,betsurehemu,Bethlehem,,TT6A/g3/r0,Nativity chapter.
Location,えるされむ,エルサレム,erusaremu,Jerusalem,,TT6B/g2/r2,Historical/biblical place name.
Location,いすらえる,イスラエル,isuraeru,Israel,,TT6A/g0/r8,The game's geographic label.
